review_no,star,review,customerId,reviewDate,pd_no,subcate_no,category_no
44,5,"감사합니다 번창하세요 마니파시길 좋아요 번창하세요 대박나세요",a255****,21.03.05.,2,선반,수납가구
45,3,"생각보다 선반 마감이 깔끔하진 않네요. 나사가 포함되어있지 않아서 아쉽기도 하고요",hell****,21.03.16.,2,선반,수납가구
46,4,"잘쓰고 있어요 감사합니다",a798****,21.03.30.,2,선반,수납가구
47,4,만족합니다맘에들어요,kkok****,21.03.09.,2,선반,수납가구
48,4,만족합니다맘에들어요,kkok****,21.03.09.,2,선반,수납가구
49,5,"상품을 지금 방금 받았습니다.

화면과 같은 사이즈에 색상에 만족합니다.

상품은 좋은데...원래 상품 만 오나요???;;;

나사? 그런건 없는건가요?? 집에 있는걸로 하는건지...ㅠㅠ

좀 당황했습니다.",jang****,21.02.08.,2,선반,수납가구
50,5,"우리집 욕실에 잘 어울려요!
걸리적 거리는게 싫어서 상부장도 안했는데
선반이 하나 있긴해야할 것 같아 폭 좁은 것으로 선택했고 칫솔  치약  화병 하나 올릴 정도의 공간이 딱 나와 너무 만족스럽습니다^^",hean****,21.02.11.,2,선반,수납가구
51,1,"B급이라 마켓비인가..? 다신 거들떠도 안봅니다 서비스도 엉망 물건도 엉망 이런식으로 장사하지마세요 양심도 없으신가",suj0****,21.02.16.,2,선반,수납가구
52,5,"최대하중 7키로라고 되어 있는데 떨어질까 불안불안 합니다.",park****,21.03.01.,2,선반,수납가구
53,4,"상품은 튼튼하고 좋습니다. 다만 집 벽이 석고보드라.. 1차 설치 실패하고 장비가 오기를 기다리고 있습니다.",joyk****,21.03.09.,2,선반,수납가구
54,5,"생각보다 더 크고 무거워요 !!",leea****,21.03.05.,2,선반,수납가구
55,3,"배송은 좋으나 물품이 엉뚱한게 두번이나 ㅠㅠ 그래도 무사히 모두 받아서 설치까지 햇습니다",lher****,21.03.10.,2,선반,수납가구
56,3,"배송은 좋으나 물품이 엉뚱한게 두번이나 ㅠㅠ 그래도 무사히 모두 받아서 설치까지 햇습니다",lher****,21.03.10.,2,선반,수납가구
57,3,"배송은 좋으나 물품이 엉뚱한게 두번이나 ㅠㅠ 그래도 무사히 모두 받아서 설치까지 햇습니다",lher****,21.03.10.,2,선반,수납가구
58,5,"가볍고 맘에 듭니다",noey****,21.03.05.,2,선반,수납가구
59,5,"튼튼허고 좋아요.  양면 티이프로 붙였더니 편하네요",saji****,21.02.23.,2,선반,수납가구
60,5,"좋지 않은 평이 보여 걱정했는데  전 정말 만족스럽습니다!!",twin****,21.03.17.,2,선반,수납가구
61,5,"좋은 상품 감사합니다~^^",sott****,21.03.22.,2,선반,수납가구
62,1,"무거워서 앞쪽으로 쏠려요 
못도 힘도 없는 못이구요  
별로에요",kimh****,21.03.17.,2,선반,수납가구
63,3,"가벼운걸 원했는데 생각보다 무게감 있어요..",damb****,21.03.15.,2,선반,수납가구
64,5,"흰색 벽체 색상에 너무 잘어울립니다.",long****,21.02.23.,2,선반,수납가구
65,5,"생각보다 나무가 두껍네요
상품 너무 좋와요",joon****,21.02.16.,2,선반,수납가구
66,5,"벽체 색상이랑 너무 잘어울립니다",long****,21.02.23.,2,선반,수납가구
67,5,"디자인도 깔끔하고 튼튼하고 좋아요~",saji****,21.02.23.,2,선반,수납가구
68,5,"배송 빨라서 좋아요",anda****,21.03.18.,2,선반,수납가구
69,5,"옷장위어서 자는 고양이를 위해 설치했습니다",syun****,21.02.20.,2,선반,수납가구
70,5,"휴일에 주문했는데 벌써 도착!
배송 ㅇㅈ
나사도 없는줄 알았는데 같이 보내주셨네요
굿!",coor****,21.02.15.,2,선반,수납가구
71,5,"굳굳 좋아요 만족합니다",seoy****,21.03.16.,2,선반,수납가구
72,5,"아직설치전이지만 깔끔하고좋아보여요",mins****,21.02.20.,2,선반,수납가구
73,4,"별로에요..믿으로 쳐져요",tpfx****,21.03.12.,2,선반,수납가구
74,4,"잘 받았어요. 못박는 위치를 위에서도 알수있었음 좋겠어요.",tpfx****,21.03.05.,2,선반,수납가구
75,4,"두께가 좀 있네요 잘 쓸께요",julo****,21.03.09.,2,선반,수납가구
76,1,"동봉된 나사로는 설치불가한 상품인듯... 설치포기했어요",euij****,21.03.03.,2,선반,수납가구
77,3,"아직 안써봤는데 단면쪽이 살짝 먼지가 많이 떨어지네요",dae1****,21.03.06.,2,선반,수납가구
78,4,"생각보다 더 넚어서 당황했으나! 그래도 튼튼해서 좋아요~^^",soji****,21.03.03.,2,선반,수납가구
79,1,"너무 무겁고 고정이 안되네요",julo****,21.03.11.,2,선반,수납가구
80,4,"달기힘들어요 진심 이쁘긴한데...",duba****,21.02.14.,2,선반,수납가구
81,5,"배송 빠르고   튼튼해요",take****,21.03.12.,2,선반,수납가구
82,1,"너무 무겁고 고정이 안되네요 ㅠㅠ",julo****,21.03.11.,2,선반,수납가구
83,5,"생각보다 나무가 두껍네요
상품 너무 좋와요",joon****,21.02.16.,2,선반,수납가구
84,2,"50t 엄청 두꺼워요 보기 싫을정도로 두꺼워요 구매하면 반품은 불가능하니 신중히 구매하세요 서비스도 완전 별로에요 걍 다른데 가서 구매하시길",slay****,21.02.19.,2,선반,수납가구
85,3,"생각보다 많이 무거워요.
지금 조립중인데 힘들어요    조립해서 판매하면 좋을 듯요.

그리고 벽에 고정하는 부분 색상이 선반이랑 달라서 티나요 
그리고 하부 선반 조립부는 메인 판과 단차를 없이 해주시면
세우고 고정할때 하부가 안뜰 것 같아요  지금은 좀 떠서
무언갈 받쳐야 합니다.",mari****,21.02.01.,2,선반,수납가구
86,1,"칼부록에 안박힙니다 ㄱ자 달아야해요",sskm****,21.03.08.,2,선반,수납가구
87,5,"화장대색상과 잘맞네요",bes1****,21.02.16.,2,선반,수납가구
88,5,"원목이라좋아요 잘꾸밀께요",bes1****,21.02.16.,2,선반,수납가구
